ID,answer
TG_A_J_20230304,3708.4364732060226
TG_A_J_20230305,1175.605042562821
TG_A_J_20230306,4322.132610866591
TG_A_J_20230307,4243.425583006888
TG_A_J_20230308,4278.769904197995
TG_A_J_20230309,4604.010118289848
TG_A_J_20230310,4420.603066960162
TG_A_J_20230311,4010.6209058373497
TG_A_J_20230312,1488.5724291727802
TG_A_J_20230313,4649.47679655035
TG_A_J_20230314,4588.282839734937
TG_A_J_20230315,4643.689300917494
TG_A_J_20230316,4990.840518183262
TG_A_J_20230317,4830.400288740546
TG_A_J_20230318,4443.57803079297
TG_A_J_20230319,1943.9755924108078
TG_A_J_20230320,5125.688085928042
TG_A_J_20230321,5082.75116000654
TG_A_J_20230322,5152.989264488928
TG_A_J_20230323,5510.738619852951
TG_A_J_20230324,5355.946832483696
TG_A_J_20230325,4969.222524392813
TG_A_J_20230326,2463.7026318037774
TG_A_J_20230327,5633.170135424436
TG_A_J_20230328,5571.514114945907
TG_A_J_20230329,5616.586274369469
TG_A_J_20230330,5942.927364864733
TG_A_J_20230331,5750.865293506153
TG_A_S_20230304,3960.975590156024
TG_A_S_20230305,-14.177924990937754
TG_A_S_20230306,4341.4730407111765
TG_A_S_20230307,4326.712955198604
TG_A_S_20230308,4374.349231943061
TG_A_S_20230309,4446.62475952635
TG_A_S_20230310,4391.655674162586
TG_A_S_20230311,4167.4929171048
TG_A_S_20230312,195.3847745645553
TG_A_S_20230313,4558.469369213849
TG_A_S_20230314,4555.066244117632
TG_A_S_20230315,4617.388680207354
TG_A_S_20230316,4706.976074240225
TG_A_S_20230317,4671.154729405042
TG_A_S_20230318,4467.124910442067
TG_A_S_20230319,515.2506024746212
TG_A_S_20230320,4897.780136442048
TG_A_S_20230321,4912.165992675914
TG_A_S_20230322,4989.8045949511725
TG_A_S_20230323,5091.494617466395
TG_A_S_20230324,5063.921400109393
TG_A_S_20230325,4863.764636352168
TG_A_S_20230326,911.0051743214017
TG_A_S_20230327,5287.658601114224
TG_A_S_20230328,5291.103548940557
TG_A_S_20230329,5352.825292345394
TG_A_S_20230330,5433.873052577911
TG_A_S_20230331,5381.338637360055
TG_B_J_20230304,3327.3137510822044
TG_B_J_20230305,-46.55125570586415
TG_B_J_20230306,3786.585347111021
TG_B_J_20230307,3877.612725123105
TG_B_J_20230308,3771.3268736465257
TG_B_J_20230309,3865.3328067297234
TG_B_J_20230310,3891.6663044269953
TG_B_J_20230311,3158.879768903006
TG_B_J_20230312,-212.57535442960352
TG_B_J_20230313,3634.901786033637
TG_B_J_20230314,3752.0635612345227
TG_B_J_20230315,3683.255803877093
TG_B_J_20230316,3825.3252916990937
TG_B_J_20230317,3909.254666012188
TG_B_J_20230318,3242.2691067273317
TG_B_J_20230319,-56.753204404864846
TG_B_J_20230320,3868.00393261725
TG_B_J_20230321,4065.337330218956
TG_B_J_20230322,4077.511726708947
TG_B_J_20230323,4299.216461810214
TG_B_J_20230324,4459.252235022892
TG_B_J_20230325,3862.691018340776
TG_B_J_20230326,626.339860135316
TG_B_J_20230327,4604.07803736147
TG_B_J_20230328,4842.949292682864
TG_B_J_20230329,4883.695061798895
TG_B_J_20230330,5119.7521806055875
TG_B_J_20230331,5278.974751774499
TG_B_S_20230304,3666.966627246092
TG_B_S_20230305,202.32972779434522
TG_B_S_20230306,3906.394187570142
TG_B_S_20230307,4228.747638144466
TG_B_S_20230308,4064.4929850626086
TG_B_S_20230309,4160.484769879726
TG_B_S_20230310,4119.680705445309
TG_B_S_20230311,3820.2621456071297
TG_B_S_20230312,351.880171114291
TG_B_S_20230313,4058.4314972896905
TG_B_S_20230314,4389.481121387549
TG_B_S_20230315,4239.928090683882
TG_B_S_20230316,4356.245319141292
TG_B_S_20230317,4340.8393485460565
TG_B_S_20230318,4071.1836411567906
TG_B_S_20230319,636.0817898095343
TG_B_S_20230320,4378.464439227898
TG_B_S_20230321,4746.836319845083
TG_B_S_20230322,4634.969166470504
TG_B_S_20230323,4788.170764128112
TG_B_S_20230324,4807.675272469017
TG_B_S_20230325,4569.807631458424
TG_B_S_20230326,1162.2776303505957
TG_B_S_20230327,4927.006631162834
TG_B_S_20230328,5311.602567845534
TG_B_S_20230329,5209.0782559526215
TG_B_S_20230330,5364.1425798128585
TG_B_S_20230331,5377.609113230744
TG_C_J_20230304,4324.761992917869
TG_C_J_20230305,-374.7039604009897
TG_C_J_20230306,4280.420915154481
TG_C_J_20230307,4485.079136350521
TG_C_J_20230308,4531.298553726236
TG_C_J_20230309,4394.582599782666
TG_C_J_20230310,4725.1023226600755
TG_C_J_20230311,4519.848296096854
TG_C_J_20230312,-110.62428877555612
TG_C_J_20230313,4616.9428460679965
TG_C_J_20230314,4895.170023552789
TG_C_J_20230315,5013.672186240245
TG_C_J_20230316,4945.519204627696
TG_C_J_20230317,5338.499788622524
TG_C_J_20230318,5187.3450384902435
TG_C_J_20230319,600.5428693385461
TG_C_J_20230320,5359.5414744715845
TG_C_J_20230321,5655.467008907611
TG_C_J_20230322,5776.806849035582
TG_C_J_20230323,5695.910982188973
TG_C_J_20230324,6060.286089207155
TG_C_J_20230325,5864.837345739298
TG_C_J_20230326,1218.6884934377713
TG_C_J_20230327,5904.378013546108
TG_C_J_20230328,6114.556614150447
TG_C_J_20230329,6139.637781820047
TG_C_J_20230330,5954.25470317054
TG_C_J_20230331,6208.499209812931
TG_C_S_20230304,3769.254515651968
TG_C_S_20230305,157.7367962479384
TG_C_S_20230306,4338.269562387075
TG_C_S_20230307,4402.555511618242
TG_C_S_20230308,4353.724306931219
TG_C_S_20230309,4442.099300296352
TG_C_S_20230310,4359.409628134939
TG_C_S_20230311,4041.873046291942
TG_C_S_20230312,451.77372207214194
TG_C_S_20230313,4658.0272450264665
TG_C_S_20230314,4751.4452606884015
TG_C_S_20230315,4734.11206865366
TG_C_S_20230316,4855.182550858192
TG_C_S_20230317,4805.129842590706
TG_C_S_20230318,4518.867092757925
TG_C_S_20230319,957.3664000554295
TG_C_S_20230320,5188.2659768903795
TG_C_S_20230321,5301.176692603811
TG_C_S_20230322,5297.09907798236
TG_C_S_20230323,5424.258927536592
TG_C_S_20230324,5372.388749243275
TG_C_S_20230325,5075.878346489969
TG_C_S_20230326,1495.4166900275022
TG_C_S_20230327,5698.615364110075
TG_C_S_20230328,5775.32415580021
TG_C_S_20230329,5727.049490199372
TG_C_S_20230330,5802.783685237289
TG_C_S_20230331,5693.272335850608
TG_D_J_20230304,1797.5674354588425
TG_D_J_20230305,-1031.1994069081125
TG_D_J_20230306,2484.964453745677
TG_D_J_20230307,2309.8180794968957
TG_D_J_20230308,2609.1010342361806
TG_D_J_20230309,2291.1960423652936
TG_D_J_20230310,2533.7217271986156
TG_D_J_20230311,2083.9837340377
TG_D_J_20230312,-726.9292823799728
TG_D_J_20230313,2806.399461476327
TG_D_J_20230314,2647.1604162594076
TG_D_J_20230315,2960.5081591487597
TG_D_J_20230316,2654.240030826057
TG_D_J_20230317,2905.4056457385614
TG_D_J_20230318,2460.7751558241744
TG_D_J_20230319,-349.0476983896401
TG_D_J_20230320,3180.936061495835
TG_D_J_20230321,3013.5817312400177
TG_D_J_20230322,3313.8054941021182
TG_D_J_20230323,2989.275321219169
TG_D_J_20230324,3217.0305175095996
TG_D_J_20230325,2743.9574594995142
TG_D_J_20230326,-99.09271854964436
TG_D_J_20230327,3393.259107380524
TG_D_J_20230328,3184.3795189102025
TG_D_J_20230329,3439.8222530098637
TG_D_J_20230330,3068.010982035773
TG_D_J_20230331,3246.847584218878
TG_D_S_20230304,3859.3914219955273
TG_D_S_20230305,385.6484087038366
TG_D_S_20230306,4251.812984579861
TG_D_S_20230307,4539.779482582854
TG_D_S_20230308,4323.01963174489
TG_D_S_20230309,4427.296961702305
TG_D_S_20230310,4481.921367046218
TG_D_S_20230311,4112.907018914555
TG_D_S_20230312,611.8301808643855
TG_D_S_20230313,4455.948721473511
TG_D_S_20230314,4727.500867607266
TG_D_S_20230315,4500.126232779327
TG_D_S_20230316,4599.578951432198
TG_D_S_20230317,4654.9856582208595
TG_D_S_20230318,4292.011354624967
TG_D_S_20230319,801.7294591140972
